部分,n
頭,ctr
固まる,v5r vi
上,suf
終わる,v5r vi
去年,n adv
変化,n vs vi
感じる,v1 vt vi
合う,v5u vi
光る,v5r vi
私,n
整える,v1 vt
間違う,v5u vi
犯人,n
どんどん,adv adv-to
者,suf
袋,suf ctr
広がる,v5r vi
女の子,n
今,n adj-no adv
名前,n
我慢,n vs vt vi
詳しい,adj-i
切り,n
欲しい,adj-i
氷,n
未来,n
行く,v5k-s vi
予定,n vs vt
含む,v5m vt
机,n
夢,n
狙う,v5u vt
揃う,v5u vi
空,n
方向,n
考える,v1 vt
通る,v5r vi
認める,v1 vt
見える,v1 vi
宣言,n vs vt
数,pref
半分,adv n
拾う,v5u vt
普段,adj-no n
厳しい,adj-i
途中,n adv
攻撃,n vs vt
呼ぶ,v5b vt
真面目,adj-na n
見つかる,v5r vi
肩,n
確か,adj-na
扉,n
生徒,n
一つ,num
必ず,adv
味,n
色々,adj-na adj-no
活動,n vs vi
相変わらず,adv adj-no
お礼,n
そろそろ,adv adv-to
放つ,v5t vt
兵士,n
どうせ,adv
大人,n
混乱,n vs vi
慣れる,v1 vi
秋,n adv
大分,n
写真,n
努力,n vs vi
猫,n
裏,n
主,adj-na n
お互い,n adj-no adv
意外,adj-na adv-to n
終了,n vs vt vi
門,n n-suf
時,n-suf
乗る,v5r vi
受け止める,v1 vt
他,adv n adj-no
失礼します,exp
開く,v5k vi vt
木曜日,n adv
座る,v5r vi
知識,n
箱,n
なる,suf adj-f
大人しい,adj-i
周囲,n adj-no
男の子,exp n
踏む,v5m vt
届ける,v1 vt
柔らかい,adj-i
間違い,n
女性,n adj-no
力,suf
若い,adj-i
印象,n
思い出す,v5s vt
生き物,n
更に,adv conj
人間,n
自身,n n-suf
頼る,v5r vi vt
舌,n
来年,n adv
利用,n vs vt
奴,n
左,n adj-no
増す,v5s vi vt
教室,n
納得,n vs vt vi
形,suf
満足,n adj-na vs
通り,n-suf
感覚,n vs vt
女,n n-pref
信じる,v1 vt
日曜日,n adv
染まる,v5r vi
甘い,adj-i
ゆっくり,adv adv-to vs
調査,n vs vt
一瞬,n adv
練習,n vs vt
置く,v5k vt
解く,v5k vt
沈黙,n
得る,v1 vt
告白,n vs vt
聞く,v5k vt
たっぷり,adv adv-to adj-na suf
面,n
君,pn
心,n
最強,adj-no n
腹,n
探る,v5r vt
告げる,v1 vt
二,num
あっさり,adv adv-to vs
通す,v5s vt
長,pref suf
地,n
素敵,adj-na
無い,adj-i
絶対,adv
向く,v5k vt vi
相当,n vs vi adj-no
最高,adj-no adj-na n
連中,n
諦める,v1 vt
捕まる,v5r vi
掴む,v5m vt
日々,adj-no
行為,n
役に立つ,exp v5t
貫く,v5k vt
男,n
理由,n
他人,n
上がる,v5r vi
毎月,adv n
一応,n adj-no adv
腰,n-suf
